Date;TransType;Item;Description;TransID;TableSource;Qty;OriginalStoreroom;OriginalBin;ToStoreroom;ToBin;Location;PoNumber;InventoryUsage ;WorkOrder;ItemType;ItemCommCodes;WOCommGroup ;ConditionCode;ActualCost;LineCost;FromStoreroom;TopAsset;AssetConCode
10/03/2025;ISSUE;54731;Kleinlampe 3W BA9S, Scharnberger;140973;MATUSETRANS;-6;HKO1;;;;;;;WO1944305;SparePart;KA;PM-FS;;1,01;6,06;HKO1;490-002;NEW
10/03/2025;ISSUE;54731;Kleinlampe 3W BA9S, Scharnberger;140976;MATUSETRANS;-7;HKO1;;;;;;;WO1944305;SparePart;KA;PM-FS;;1,01;7,07;HKO1;490-002;NEW
10/03/2025;ISSUE;12610;Ceplattyn 300 Spray (Graphitspray);140974;MATUSETRANS;-1;HKO1;;;;;;;WO1944305;Lubricant;TECH-CONS;PM-FS;;12,68;12,68;HKO1;490-002;NEW
10/03/2025;TRANSFER;16866;Stromrichterpumpe KSB ESO-G 32.125.1/1/12M, KSB Aktiengesellschaft;222155;MATRECTRANS;1;DKR1;;DKR1;DKR1S03303;;;;;SparePart;FD;;REPAIRED;0;0;;;
10/03/2025;TRANSFER;16866;Stromrichterpumpe KSB ESO-G 32.125.1/1/12M, KSB Aktiengesellschaft;222156;MATRECTRANS;1;DKR1;;DKR1;DKR1S03303;;;;;SparePart;FD;;REPAIRED;2407,2;2407,2;;;
10/03/2025;STAGETRANSFER;TL57334;Benning TA 5 Sicherheits-Messleitung Lamellenstecker 4 mm Buchse 4 mm 40.00 m Schwarz;222618;MATRECTRANS;1;DKS1;DKS1000EIN;DKS1;DKS1000EIN;;;41401;;;TECH-TOOL;;;0;0;DKS1;;
10/03/2025;STAGETRANSFER;12563;Schraubenkupplung vollständig 850kN, inkl. Neulackierung in RAL9005;222586;MATRECTRANS;1;DKS1;DKS1A03103;DKS1;DKS1A03103;;;41402;;SparePart;SA;;REPAIRED;129;129;DKS1;;
10/03/2025;STAGETRANSFER;12563;Schraubenkupplung vollständig 850kN, inkl. Neulackierung in RAL9005;222587;MATRECTRANS;1;DKS1;DKS1A03103;DKS1;DKS1A03103;;;41402;;SparePart;SA;;REPAIRED;212;212;DKS1;;
10/03/2025;ISSUE;30598;Filtermatte Klima groß (Führerstand), Elsässer;140978;MATUSETRANS;-2;HKO1;;;;;;;WO1944971;SparePart;LC;PM-FS;;0,8;1,6;HKO1;490-006;NEW
10/03/2025;ISSUE;ITM1568;HEATER SPARES KIT - element chauffant - B88831/003;140979;MATUSETRANS;-1;FRD1;;;;WWS2;;41403;;SparePart;MA;;;332,24;332,24;FRD1;;
10/03/2025;ISSUE;30597;Filtermatte Klima klein (Steuerung), Elsässer;140980;MATUSETRANS;-2;HKO1;;;;;;;WO1944971;SparePart;LC;PM-FS;;1;2;HKO1;490-006;NEW
10/03/2025;ISSUE;54731;Kleinlampe 3W BA9S, Scharnberger;140981;MATUSETRANS;-13;HKO1;;;;;;;WO1944971;SparePart;KA;PM-FS;;1,01;13,13;HKO1;490-006;NEW
10/03/2025;ISSUE;12749;KC Trockenperlen Orange CHAMELEON 2050 25 kg;140982;MATUSETRANS;-1;HKO1;;;;;;;WO1944971;Lubricant;TECH-CONS;PM-FS;;10,5;10,5;HKO1;490-006;NEW
10/03/2025;ISSUE;12610;Ceplattyn 300 Spray (Graphitspray);140983;MATUSETRANS;-1;HKO1;;;;;;;WO1944971;Lubricant;TECH-CONS;PM-FS;;12,68;12,68;HKO1;490-006;NEW
10/03/2025;ISSUE;ITM1521;F1013B.350 Kunststoff-Kerzenfiltergehäuse ohne Ablass;140984;MATUSETRANS;-1;HKO1;;;;;;;WO1944971;SparePart;QA;PM-FS;;12,5;12,5;HKO1;490-006;NEW
10/03/2025;SHIPRECEIPT;TL56946;Fluke 805 FC/805 ES Schwingungsmesser ± 5 % N/A;222619;MATRECTRANS;1;DKS1;Pool Posen;DKS1;DKS1MESS;;;41240;;;TECH-TOOL-IN;;;0;0;PPO1;;
10/03/2025;SHIPRECEIPT;29983;Multimeter Fluke 289;222620;MATRECTRANS;1;DKS1;Janowski, Janusz;DKS1;;;;41240;;;TECH-TOOL;;;0;0;PPO1;;
10/03/2025;SHIPRECEIPT;29867;"Hazet Drehmomentschlüssel 5123-3CT 60-320NM 1/2"""", Hazet, Wemag";222621;MATRECTRANS;1;DKS1;Janowski, Janusz;DKS1;;;;41240;;;TECH-TOOL;;;0;0;PPO1;;
10/03/2025;SHIPRECEIPT;44415;"Hazet Drehmomentschlüssel 5110-3CT 10-60NM 3/8"""", Hazet, Wemag";222622;MATRECTRANS;1;DKS1;Janowski, Janusz;DKS1;;;;41240;;;TECH-TOOL;;;0;0;PPO1;;
10/03/2025;SHIPRECEIPT;29857;"Drehmomentschlüssel 1/2"", 20-100 Nm, Gedore";222623;MATRECTRANS;1;DKS1;Kirchner, Lukasz;DKS1;;;;41240;;;TECH-TOOL;;;0;0;PPO1;;
10/03/2025;SHIPRECEIPT;29871;Drehmomentschlüssel 14x18mm, 80-400 Nm, Gedore;222624;MATRECTRANS;1;DKS1;Kirchner, Lukasz;DKS1;;;;41240;;;TECH-TOOL;;;0;0;PPO1;;
10/03/2025;SHIPRECEIPT;29883;Sprossenleiter;222625;MATRECTRANS;1;DKS1;Pool Posen;DKS1;;;;41240;;;TECH-TOOL;;;0;0;PPO1;;
10/03/2025;SHIPRECEIPT;29885;WAKÜ Teleskopleiter 4-sprossig (1,29m - 4,20m) Typ101, Wakü;222626;MATRECTRANS;1;DKS1;Pool Posen;DKS1;;;;41240;;;TECH-TOOL;;;0;0;PPO1;;
10/03/2025;ISSUE;12730;Leuchtstoffröhre L18W/840 590mm, cool white;140985;MATUSETRANS;-2;HKO1;;;;;;;WO1924147;SparePart;KA;PM-FS;;3,21;6,42;HKO1;186-358;NEW
10/03/2025;ISSUE;13443;Filtermatte für Fahrmotorlüfter (Grün);140986;MATUSETRANS;-4;HKO1;;;;;;;WO1924147;SparePart;HE;PM-FS;;1,07;4,28;HKO1;186-358;NEW
10/03/2025;ISSUE;12749;KC Trockenperlen Orange CHAMELEON 2050 25 kg;140987;MATUSETRANS;-1;HKO1;;;;;;;WO1924147;Lubricant;TECH-CONS;PM-FS;;10,5;10,5;HKO1;186-358;NEW
10/03/2025;ISSUE;14242;SABESTO Pflege- und Gleitspray 300ml, Würth;140988;MATUSETRANS;-1;HKO1;;;;;;;WO1924147;Lubricant;TECH-CONS;PM-FS;;9,97;9,97;HKO1;186-358;NEW
