Date;TransType;Item;Description;TransID;TableSource;Qty;OriginalStoreroom;OriginalBin;ToStoreroom;ToBin;Location;PoNumber;InventoryUsage ;WorkOrder;ItemType;ItemCommCodes;WOCommGroup ;ConditionCode;ActualCost;LineCost;FromStoreroom;TopAsset;AssetConCode
2025-03-10;ISSUE;41876_ITEM;MOTO POMPE 6,4M3/H 20M H20, ALSTOM;141346.0;MATUSETRANS;-1.0;FOS1;;;;ORT1576;;41386.0;WO1908134;SparePart;HE;REVI-SO;;1388,61;1388,61;FOS1;BB27137;NEW
2025-03-10;ISSUE;41876_ITEM;MOTO POMPE 6,4M3/H 20M H20, ALSTOM;141347.0;MATUSETRANS;-1.0;FOS1;;;;ORT1576;;41386.0;WO1908134;SparePart;HE;REVI-SO;;1388,61;1388,61;FOS1;BB27137;NEW
2025-03-10;SHIPRECEIPT;41999_ITEM;FEU ROUGE 21 LEDS 72V-110V-COL NOIR, ALSTOM;222289.0;MATRECTRANS;1.0;EDE1;FST2A05202;EDE1;Ext_Belfort;;;41304.0;;SparePart;MA;;;183;183;FST1+2;;
2025-03-10;TRANSFER;14324_ITEM;Klimagerät komplett;222290.0;MATRECTRANS;1.0;DKS1;;DKS1;DKS1D09203;;;;;SparePart;LA;;REPAIRED;6492,35;6492,35;;;
2025-03-10;RECEIPT;ITEM1260;Bogenwinkel 90° m.*Dichtungssatz IP6;222291.0;MATRECTRANS;7.0;DKS1;;DKS1;DKS1000EIN;;PO73224;;;SparePart;JA;;;44,4;310,8;;;
2025-03-10;RECEIPT;44520_ITEM;Leuchtenglas links, beheizbar;222292.0;MATRECTRANS;4.0;DKS1;;DKS1;DKS1000EIN;;PO73224;;;SparePart;KB;;;325;1300;;;
2025-03-10;SHIPTRANSFER;43415_ITEM;Sicherheitsventil 10,5 bar, Faiveley;222293.0;MATRECTRANS;1.0;DKS1;DKR1F11205;DKS1;;;;41337.0;;SparePart;QE;;;512,19;512,19;DKR1;;
2025-03-10;SHIPTRANSFER;43415_ITEM;Sicherheitsventil 10,5 bar, Faiveley;222294.0;MATRECTRANS;1.0;DKS1;DKR1F11205;DKS1;;;;41337.0;;SparePart;QE;;;512,19;512,19;DKR1;;
2025-03-10;SHIPTRANSFER;43415_ITEM;Sicherheitsventil 10,5 bar, Faiveley;222295.0;MATRECTRANS;1.0;DKS1;DKR1F11205;DKS1;;;;41337.0;;SparePart;QE;;;512,19;512,19;DKR1;;
2025-03-10;SHIPTRANSFER;43415_ITEM;Sicherheitsventil 10,5 bar, Faiveley;222296.0;MATRECTRANS;1.0;DKS1;DKR1F11205;DKS1;;;;41337.0;;SparePart;QE;;;512,19;512,19;DKR1;;
2025-03-10;SHIPTRANSFER;ITEM4603;3370490-Vis tête hexa. M6-65;222297.0;MATRECTRANS;50.0;FOS1;FHIO1G01303;FOS1;FOS1I03305;;;41388.0;;SmallPart;MA;;;1,43;71,5;FHIO1;;
2025-03-10;SHIPTRANSFER;ITEM4603;3370490-Vis tête hexa. M6-65;222298.0;MATRECTRANS;4.0;FOS1;FHIO1G01303;FOS1;FOS1I03305;;;41388.0;;SmallPart;MA;;;1,43;5,72;FHIO1;;
